"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"5","秋田県","5201","秋田市","52010142003","桜ガ丘三丁目","39.702141","140.156039","0","3"
"5","秋田県","5201","秋田市","52010142004","桜ガ丘四丁目","39.702405","140.150698","0","3"
"5","秋田県","5201","秋田市","52010142005","桜ガ丘五丁目","39.704158","140.159843","0","3"
"5","秋田県","5201","秋田市","52010143001","桜台一丁目","39.707568","140.15898099999998","0","3"
"5","秋田県","5201","秋田市","52010143002","桜台二丁目","39.709911","140.159366","0","3"
"5","秋田県","5201","秋田市","52010143003","桜台三丁目","39.711025","140.161185","0","3"
"5","秋田県","5201","秋田市","52010144000","山内","39.781243","140.183904","0","1"
"5","秋田県","5201","秋田市","52010145001","山王一丁目","39.721064","140.102718","0","3"
"5","秋田県","5201","秋田市","52010145002","山王二丁目","39.720726","140.10636","0","3"
"5","秋田県","5201","秋田市","52010145003","山王三丁目","39.717508","140.106378","0","3"
"5","秋田県","5201","秋田市","52010145004","山王四丁目","39.717358","140.102872","0","3"
"5","秋田県","5201","秋田市","52010145005","山王五丁目","39.714828","140.105046","0","3"
"5","秋田県","5201","秋田市","52010145006","山王六丁目","39.715408","140.0992","0","3"
"5","秋田県","5201","秋田市","52010145007","山王七丁目","39.717711","140.098573","0","3"
"5","秋田県","5201","秋田市","52010146000","山王新町","39.717352","140.094538","0","1"
"5","秋田県","5201","秋田市","52010147000","山王中島町","39.717048","140.090942","0","1"
"5","秋田県","5201","秋田市","52010148000","山王中園町","39.714951","140.095161","0","1"
"5","秋田県","5201","秋田市","52010149000","山王沼田町","39.714632","140.091157","0","1"
"5","秋田県","5201","秋田市","52010150000","山王臨海町","39.715981","140.088013","0","1"
"5","秋田県","5201","秋田市","52010151000","下北手黒川","39.700252","140.195762","0","1"
"5","秋田県","5201","秋田市","52010152000","下北手桜","39.716386","140.157505","0","1"
"5","秋田県","5201","秋田市","52010153000","下北手寒川","39.719265","140.206152","0","1"
"5","秋田県","5201","秋田市","52010154000","下北手宝川","39.707361","140.212324","0","1"
"5","秋田県","5201","秋田市","52010155000","下北手通沢","39.711216","140.189971","0","1"
"5","秋田県","5201","秋田市","52010156000","下北手梨平","39.702314","140.164783","0","1"
"5","秋田県","5201","秋田市","52010157000","下北手松崎","39.724721","140.167119","0","1"
